query,intent,target,parameter,modifier,conditions
Optimize issue detected in battery_bank efficiency.,optimize,battery_bank,efficiency,sudden_drop,at_night
Optimize issue detected in smart_meter temperature.,optimize,smart_meter,temperature,overload,during_peak_hours
Inspect microgrid_controller — frequency seems high.,inspect,microgrid_controller,frequency,high,heatwave
Inspect anomaly in inverter state_of_charge.,inspect,inverter,state_of_charge,low,none
Diagnose the solar_panel irradiance.,diagnose,solar_panel,irradiance,none,during_peak_hours
Check the overload voltage in the charge_controller.,check,charge_controller,voltage,overload,post_storm
Inspect issue detected in smart_meter state_of_charge.,inspect,smart_meter,state_of_charge,unstable,during_peak_hours
Log the critical efficiency in the battery_bank.,log,battery_bank,efficiency,critical,post_storm
Log why the microgrid_controller load_balance is none.,log,microgrid_controller,load_balance,none,during_peak_hours
Monitor grid_tie_inverter — irradiance seems low.,monitor,grid_tie_inverter,irradiance,low,none
Log the microgrid_controller voltage.,log,microgrid_controller,voltage,sudden_drop,during_peak_hours
Diagnose issue detected in smart_meter voltage.,diagnose,smart_meter,voltage,overload,under_cloud_cover
Monitor battery_bank — load_balance seems high.,monitor,battery_bank,load_balance,high,heatwave
Diagnose current readings on the microgrid_controller.,diagnose,microgrid_controller,current,low,heatwave
Monitor issue detected in smart_meter state_of_charge.,monitor,smart_meter,state_of_charge,intermittent,post_storm
Check the microgrid_controller frequency.,check,microgrid_controller,frequency,none,none
Check why the charge_controller temperature is unstable.,check,charge_controller,temperature,unstable,post_storm
Check fault_code readings on the inverter.,check,inverter,fault_code,overload,post_storm
Log the low load_balance in the battery_bank.,log,battery_bank,load_balance,low,heatwave
Monitor current readings on the battery_bank.,monitor,battery_bank,current,low,under_cloud_cover
Inspect battery_bank — state_of_charge seems unstable.,inspect,battery_bank,state_of_charge,unstable,under_cloud_cover
Optimize the unstable state_of_charge in the pv_array.,optimize,pv_array,state_of_charge,unstable,under_cloud_cover
Reset charge_controller — temperature seems unstable.,reset,charge_controller,temperature,unstable,at_night
Reset smart_meter — fault_code seems overload.,reset,smart_meter,fault_code,overload,under_cloud_cover
Reset sensor discrepancy: microgrid_controller frequency.,reset,microgrid_controller,frequency,intermittent,heatwave
Monitor sensor discrepancy: grid_tie_inverter load_balance.,monitor,grid_tie_inverter,load_balance,critical,under_cloud_cover
Optimize the grid_tie_inverter fault_code.,optimize,grid_tie_inverter,fault_code,low,post_storm
Optimize load_balance readings on the pv_array.,optimize,pv_array,load_balance,sudden_drop,heatwave
Diagnose load_balance readings on the grid_tie_inverter.,diagnose,grid_tie_inverter,load_balance,none,during_peak_hours
Inspect sensor discrepancy: microgrid_controller frequency.,inspect,microgrid_controller,frequency,critical,under_cloud_cover
Diagnose inverter — output_power seems none.,diagnose,inverter,output_power,none,at_night
Monitor voltage readings on the smart_meter.,monitor,smart_meter,voltage,none,during_peak_hours
Optimize the unstable irradiance in the solar_panel.,optimize,solar_panel,irradiance,unstable,heatwave
Check why the pv_array frequency is unstable.,check,pv_array,frequency,unstable,under_cloud_cover
Log anomaly in battery_bank frequency.,log,battery_bank,frequency,low,at_night
Predict issue detected in grid_tie_inverter current.,predict,grid_tie_inverter,current,high,none
Log the high output_power in the smart_meter.,log,smart_meter,output_power,high,heatwave
Diagnose battery_bank — voltage seems sudden_drop.,diagnose,battery_bank,voltage,sudden_drop,at_night
Inspect grid_tie_inverter — state_of_charge seems intermittent.,inspect,grid_tie_inverter,state_of_charge,intermittent,none
Optimize the pv_array frequency.,optimize,pv_array,frequency,none,none
Log sensor discrepancy: pv_array fault_code.,log,pv_array,fault_code,unstable,during_peak_hours
Optimize issue detected in inverter irradiance.,optimize,inverter,irradiance,none,at_night
Inspect sensor discrepancy: pv_array temperature.,inspect,pv_array,temperature,overload,during_peak_hours
Monitor the critical fault_code in the battery_bank.,monitor,battery_bank,fault_code,critical,during_peak_hours
Predict issue detected in pv_array state_of_charge.,predict,pv_array,state_of_charge,intermittent,at_night
Check sensor discrepancy: microgrid_controller temperature.,check,microgrid_controller,temperature,sudden_drop,heatwave
Log anomaly in solar_panel state_of_charge.,log,solar_panel,state_of_charge,unstable,under_cloud_cover
Check why the charge_controller fault_code is none.,check,charge_controller,fault_code,none,none
Monitor output_power readings on the battery_bank.,monitor,battery_bank,output_power,none,during_peak_hours
Optimize the intermittent fault_code in the smart_meter.,optimize,smart_meter,fault_code,intermittent,heatwave
Inspect inverter — fault_code seems high.,inspect,inverter,fault_code,high,post_storm
Diagnose issue detected in charge_controller voltage.,diagnose,charge_controller,voltage,critical,heatwave
Check the microgrid_controller current.,check,microgrid_controller,current,unstable,heatwave
Log anomaly in pv_array state_of_charge.,log,pv_array,state_of_charge,sudden_drop,at_night
Diagnose issue detected in charge_controller fault_code.,diagnose,charge_controller,fault_code,overload,under_cloud_cover
Optimize the none output_power in the microgrid_controller.,optimize,microgrid_controller,output_power,none,under_cloud_cover
Optimize sensor discrepancy: charge_controller fault_code.,optimize,charge_controller,fault_code,unstable,under_cloud_cover
Inspect inverter — frequency seems unstable.,inspect,inverter,frequency,unstable,none
Check current readings on the battery_bank.,check,battery_bank,current,none,heatwave
Predict sensor discrepancy: grid_tie_inverter load_balance.,predict,grid_tie_inverter,load_balance,high,post_storm
Optimize why the inverter state_of_charge is intermittent.,optimize,inverter,state_of_charge,intermittent,post_storm
Predict why the solar_panel irradiance is high.,predict,solar_panel,irradiance,high,heatwave
Inspect why the battery_bank load_balance is none.,inspect,battery_bank,load_balance,none,at_night
Predict solar_panel — current seems overload.,predict,solar_panel,current,overload,heatwave
Optimize issue detected in smart_meter irradiance.,optimize,smart_meter,irradiance,overload,under_cloud_cover
Optimize anomaly in smart_meter temperature.,optimize,smart_meter,temperature,overload,post_storm
Diagnose anomaly in charge_controller current.,diagnose,charge_controller,current,none,under_cloud_cover
Log anomaly in charge_controller state_of_charge.,log,charge_controller,state_of_charge,unstable,at_night
Log voltage readings on the microgrid_controller.,log,microgrid_controller,voltage,low,during_peak_hours
Diagnose sensor discrepancy: battery_bank current.,diagnose,battery_bank,current,overload,at_night
Log issue detected in charge_controller current.,log,charge_controller,current,critical,heatwave
Predict load_balance readings on the battery_bank.,predict,battery_bank,load_balance,critical,none
Check why the battery_bank state_of_charge is overload.,check,battery_bank,state_of_charge,overload,during_peak_hours
Predict the smart_meter efficiency.,predict,smart_meter,efficiency,low,post_storm
Optimize grid_tie_inverter — frequency seems sudden_drop.,optimize,grid_tie_inverter,frequency,sudden_drop,under_cloud_cover
Monitor current readings on the pv_array.,monitor,pv_array,current,overload,under_cloud_cover
Diagnose output_power readings on the microgrid_controller.,diagnose,microgrid_controller,output_power,intermittent,heatwave
Check temperature readings on the microgrid_controller.,check,microgrid_controller,temperature,overload,during_peak_hours
Monitor irradiance readings on the inverter.,monitor,inverter,irradiance,none,at_night
Inspect anomaly in smart_meter output_power.,inspect,smart_meter,output_power,low,under_cloud_cover
Diagnose the solar_panel voltage.,diagnose,solar_panel,voltage,critical,at_night
Monitor the grid_tie_inverter voltage.,monitor,grid_tie_inverter,voltage,sudden_drop,none
Monitor state_of_charge readings on the microgrid_controller.,monitor,microgrid_controller,state_of_charge,high,at_night
Predict anomaly in inverter irradiance.,predict,inverter,irradiance,high,during_peak_hours
Monitor irradiance readings on the pv_array.,monitor,pv_array,irradiance,high,none
Inspect voltage readings on the pv_array.,inspect,pv_array,voltage,sudden_drop,during_peak_hours
Log anomaly in charge_controller load_balance.,log,charge_controller,load_balance,sudden_drop,post_storm
Log issue detected in grid_tie_inverter fault_code.,log,grid_tie_inverter,fault_code,high,heatwave
Inspect issue detected in inverter voltage.,inspect,inverter,voltage,overload,during_peak_hours
Diagnose issue detected in charge_controller temperature.,diagnose,charge_controller,temperature,intermittent,post_storm
Monitor issue detected in solar_panel fault_code.,monitor,solar_panel,fault_code,sudden_drop,at_night
Diagnose battery_bank — output_power seems overload.,diagnose,battery_bank,output_power,overload,during_peak_hours
Optimize the inverter frequency.,optimize,inverter,frequency,low,under_cloud_cover
Reset temperature readings on the microgrid_controller.,reset,microgrid_controller,temperature,sudden_drop,during_peak_hours
Inspect the charge_controller output_power.,inspect,charge_controller,output_power,critical,post_storm
Optimize grid_tie_inverter — state_of_charge seems low.,optimize,grid_tie_inverter,state_of_charge,low,at_night
Monitor the solar_panel frequency.,monitor,solar_panel,frequency,low,during_peak_hours
Check inverter — state_of_charge seems high.,check,inverter,state_of_charge,high,at_night
Optimize sensor discrepancy: pv_array irradiance.,optimize,pv_array,irradiance,sudden_drop,during_peak_hours
Monitor fault_code readings on the inverter.,monitor,inverter,fault_code,overload,during_peak_hours
Optimize the charge_controller temperature.,optimize,charge_controller,temperature,none,during_peak_hours
Log charge_controller — load_balance seems unstable.,log,charge_controller,load_balance,unstable,post_storm
Predict sensor discrepancy: battery_bank temperature.,predict,battery_bank,temperature,none,post_storm
Predict the none output_power in the microgrid_controller.,predict,microgrid_controller,output_power,none,under_cloud_cover
Inspect battery_bank — irradiance seems sudden_drop.,inspect,battery_bank,irradiance,sudden_drop,at_night
Log efficiency readings on the charge_controller.,log,charge_controller,efficiency,sudden_drop,during_peak_hours
Log smart_meter — fault_code seems critical.,log,smart_meter,fault_code,critical,under_cloud_cover
Diagnose inverter — fault_code seems low.,diagnose,inverter,fault_code,low,at_night
Monitor sensor discrepancy: charge_controller temperature.,monitor,charge_controller,temperature,intermittent,during_peak_hours
Reset anomaly in pv_array fault_code.,reset,pv_array,fault_code,overload,at_night
Log anomaly in smart_meter fault_code.,log,smart_meter,fault_code,critical,post_storm
Optimize anomaly in smart_meter frequency.,optimize,smart_meter,frequency,unstable,none
Diagnose issue detected in grid_tie_inverter frequency.,diagnose,grid_tie_inverter,frequency,high,under_cloud_cover
